image,status,problems,width,height,blur_score,brightness
kangaroo_rat_234.jpg,PASS,,500,281,833.71,78.64
kangaroo_rat_243.jpg,PASS,,375,500,2338.63,130.96
kangaroo_rat_249.jpg,PASS,,500,375,5227.54,111.16
kangaroo_rat_251.jpg,PASS,,500,375,398.19,128.79
kangaroo_rat_264.jpg,PASS,,500,375,7721.77,100.66
kangaroo_rat_274.jpg,PASS,,500,281,2721.28,109.07
kangaroo_rat_292.jpg,REVIEW_REQUIRED,Severely blurred,375,500,39.57,110.92
kangaroo_rat_8.jpg,PASS,,375,500,2712.44,95.92
kangaroo_rat_87.jpg,PASS,,375,500,14532.96,117.51
kangaroo_rat_88.jpg,PASS,,375,500,14702.58,119.75
kangaroo_rat_91.jpg,PASS,,375,500,4745.34,106.22
kangaroo_rat_92.jpg,PASS,,375,500,10171.45,101.91
kangaroo_rat_96.jpg,PASS,,375,500,1640.38,123.72
kangaroo_rat_98.jpg,PASS,,375,500,7048.65,130.36
mountain_lion_132.jpg,PASS,,500,281,344.65,40.95
mountain_lion_161.jpg,PASS,,375,500,6744.49,102.07
mountain_lion_167.jpg,PASS,,500,281,2308.35,65.84
mountain_lion_170.jpg,PASS,,500,281,2240.02,67.32
mountain_lion_176.jpg,REVIEW_REQUIRED,Very dark,500,281,2241.96,30.49
mountain_lion_177.jpg,REVIEW_REQUIRED,Very dark,500,281,1966.98,30.08
mountain_lion_190.jpg,PASS,,375,500,5652.88,106.6
mountain_lion_198.jpg,PASS,,500,375,5667.73,117.45
mountain_lion_206.jpg,PASS,,376,500,8198.85,151.85
mountain_lion_211.jpg,REVIEW_REQUIRED,Severely blurred; Very dark,500,346,6.09,38.83
mountain_lion_227.jpg,PASS,,500,281,834.81,40.92
mountain_lion_232.jpg,PASS,,500,375,2854.15,139.37
mountain_lion_236.jpg,PASS,,500,281,1320.48,92.74
mountain_lion_280.jpg,PASS,,500,375,13643.81,86.98
mountain_lion_288.jpg,REVIEW_REQUIRED,Severely blurred,500,322,37.65,42.85
mountain_lion_49.jpg,PASS,,375,500,3976.84,116.53
mountain_lion_5.jpg,PASS,,500,375,5808.19,127.71
mountain_lion_72.jpg,PASS,,500,375,5726.94,119.26
mountain_lion_8.jpg,PASS,,500,281,4428.1,92.3
mountain_lion_80.jpg,PASS,,375,500,7499.64,132.93
mountain_lion_86.jpg,PASS,,500,284,2549.78,84.94
mountain_lion_98.jpg,PASS,,500,281,1160.93,68.89
rabbit_142.jpg,PASS,,500,375,214.82,47.29
rabbit_17.jpg,PASS,,471,500,100.9,108.47
rabbit_216.jpg,PASS,,500,333,4232.66,113.58
rabbit_233.jpg,PASS,,500,384,1879.18,157.98
rabbit_259.jpg,PASS,,375,500,3832.85,123.93
red_tailed_hawk_141.jpg,PASS,,375,500,1194.88,60.94
red_tailed_hawk_181.jpg,PASS,,500,333,4163.26,142.5
red_tailed_hawk_23.jpg,REVIEW_REQUIRED,Severely blurred,500,333,4.52,158.94
red_tailed_hawk_261.jpg,PASS,,375,500,1175.48,203.2
red_tailed_hawk_48.jpg,PASS,,445,500,1494.67,98.71
red_tailed_hawk_77.jpg,PASS,,500,500,1213.86,150.88
red_tailed_hawk_79.jpg,PASS,,281,500,8474.15,115.66
tule_elk_112.jpg,REVIEW_REQUIRED,Severely blurred,336,500,67.29,115.34
tule_elk_155.jpg,PASS,,500,375,495.69,110.21
tule_elk_160.jpg,PASS,,500,375,203.26,128.13
tule_elk_203.jpg,PASS,,500,375,1727.78,106.27
tule_elk_237.jpg,PASS,,500,440,312.3,126.01
tule_elk_240.jpg,PASS,,500,375,5060.63,107.47
tule_elk_251.jpg,PASS,,500,466,776.84,158.58
tule_elk_267.jpg,PASS,,500,233,4111.85,121.11
tule_elk_51.jpg,PASS,,375,500,12240.0,125.57
turkey_145.jpg,PASS,,375,500,3574.87,134.47
turkey_147.jpg,PASS,,435,500,5256.84,122.93
turkey_157.jpg,PASS,,375,500,2712.43,134.22
turkey_187.jpg,PASS,,500,458,2592.87,120.56
turkey_188.jpg,PASS,,500,479,209.31,144.91
turkey_195.jpg,PASS,,500,375,12891.05,129.22
turkey_196.jpg,PASS,,500,375,11966.45,125.77
turkey_225.jpg,PASS,,500,375,2737.03,113.33
turkey_244.jpg,PASS,,375,500,3421.71,115.22
turkey_26.jpg,PASS,,375,500,6338.39,112.66
turkey_267.jpg,PASS,,375,500,2008.82,106.0
turkey_268.jpg,PASS,,375,500,2733.68,105.19
turkey_49.jpg,PASS,,375,500,7494.82,152.94
turkey_50.jpg,PASS,,375,500,16349.33,114.4
turkey_59.jpg,PASS,,375,500,6687.88,109.7
turkey_78.jpg,PASS,,375,500,1121.65,96.57
